address,seed_same_naive,seed_same,seed_suspicious,less_5_tx,less_10_tx,interacted_other_ctbt,count_interaction_with_pool,count_interaction_with_toxic,count_interaction_with_airdrop_m,is_airdrop_master,count_interaction_with_tornado,count_interaction_with_disperse,has_interaction_toxic,has_no_pool_interaction,has_interaction_airdrop_m,has_interaction_tornado,has_interaction_disperse,count_flags,suspicious_1,flagged
0x24d825160887bdd4785b6f3bd8a9f10fcd367350,False,False,False,False,True,True,0,0,0,False,0,0,False,True,False,False,False,3,True,False
0x2572448d916694703691434e305c9c91e19a0def,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2583336e58ceb06eb4864e9021f091057eeae3ab,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2595dfc2539dbefccd731421cddd45dd4445aaf7,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2609b8fe6005594a3ae033494e682790bc4788bf,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x27146cd533760e0867db2647dad531fde92d80ef,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x271ef0544ab8293bb5cb7755f2287e3524a6fe63,False,False,False,False,False,False,2,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2741db011195d3400bf2466734a5fc143f3144f8,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x275ab2f4e5dd3cb7aa8ec4f16a79f4023cc5f7ef,True,True,False,False,False,False,6,0,0,False,0,0,False,False,False,False,False,0,False,False
0x28028fc3091f7dc58df8524033ada3acd14cab86,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x281fc8583fbeb10ab6090783451f832c9e5d7b34,False,False,False,False,False,False,0,0,2,False,0,0,False,True,True,False,False,2,False,True
0x2821e624fe4a3121b8f932b5cb7ca5abf02c57f0,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x282855f03557909ea551a7995b7129dde6533f63,True,True,False,False,False,True,1,0,0,False,1,0,False,True,False,True,False,3,True,True
0x2850528c81b2375c53e15ce8cd945408953b2b40,True,True,False,False,False,False,3,0,0,False,0,0,False,True,False,False,False,1,False,False
0x28d359c0d906dcf8cfa7177a1e45c3affb21b8af,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x28ea14ba28682140efed5c5bca87f46bc51a5930,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x28ede9352a5f76daec81cfc65d7246f6665f5fa3,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x293c173b0ae90cd27c349cd8892efa625a98dbae,False,False,False,False,False,True,0,1,3,False,0,0,True,True,True,False,False,4,True,True
0x294bda552d0aae45f79adf7f1ece48b51f557f92,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x297419b983e64118129473c55cfa4184e3dad249,False,False,False,False,False,False,10,0,0,False,0,0,False,False,False,False,False,0,False,False
0x2a08fecb8ac932cb7d3f6a3a0e434a4b9968dd56,False,False,False,False,False,False,102,0,2,True,0,0,False,False,True,False,False,2,False,True
0x2ae216bea0efd088ec96ba6b2c754eb9f0c07512,False,False,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2afbdf37b3383f7e63c5d97c15d2602a67538983,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2afe4de9d1c679e42c03649d86ffdddc07751ae6,False,False,False,False,False,False,10,0,0,False,0,0,False,False,False,False,False,0,False,False
0x2ba0c1d47e70b343c2404b8265cc3394f8fe2498,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2c0baf4c7b44bc6824f29cdecf2783115e7736a5,False,False,False,False,False,False,24,0,2,True,0,0,False,False,True,False,False,2,False,True
0x2c3b2b2325610a6814f2f822d0bf4dab8cf16e16,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2c8d1fd63aa75f1b8b5b2380da75d7ee333c6db0,False,False,False,False,False,True,2,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2ce8d8c88f6c74ae79210c5f27c2e88221b77638,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2d37a1b74389187ed4ecb4181cdd5812c5ed869a,True,True,False,False,True,True,0,0,0,False,0,0,False,True,False,False,False,3,True,False
0x2d9319de02b8a02d40ed7abb5d69c6bd7a7f9cb2,True,True,False,False,False,True,2,0,3,False,0,0,False,True,True,False,False,3,True,True
0x2e3e22f9f4d2de3dbdee9cbf350e22afb1c1d6b9,False,False,False,False,False,True,5,0,12,True,0,0,False,True,True,False,False,4,True,True
0x2e586806e193d22bbfbe9c466a35456c7bf73b5b,True,True,False,True,True,True,0,0,0,False,0,0,False,True,False,False,False,4,True,True
0x2e7f4dd3acd226ddae10246a45337f815cf6b3ff,True,True,False,False,False,True,13,0,2,False,6,0,False,False,True,True,False,3,True,True
0x2e83f7b6c34dfc8f6a26d4728d2a93fffb4f747f,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2ea2ce595bd68a0cd1fd34b06df98970952fe4d2,True,True,False,False,False,False,2,0,0,False,0,0,False,True,False,False,False,1,False,False
0x2eabdce52a416813c24dd0d531005b96b877ac52,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2ecc864674add0b10300ae825bfac794fee79aab,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2f175eb7efad9eabde70d33dc43b83156b2e9849,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2f60eb998003f8567f91a63ec4d83f43234d606a,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2f6fd07141431f7946b9d64d80e0036c3520c59c,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2f7a3f2dda7fd36ad4d0c002c0e8d7b1dac668b7,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2f99f21476d0706070443803a688ecd6c60fec9f,True,True,False,False,False,True,1,0,0,False,0,0,False,True,False,False,False,2,False,False
0x2fe95ba46d36e6bbc8d3bbc6bf3f18c85c91f3af,True,True,False,False,False,True,1,0,2,False,0,0,False,True,True,False,False,3,True,True
0x300da191248a500b2174aed992d6697bf97f9139,False,False,False,False,False,False,2,0,2,False,0,0,False,True,True,False,False,2,False,True
0x30221849ecbc78e2c937e752e9a094c0d008efa5,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x31527da430049c4952a76f02e2bdeb71639dfe6b,False,False,False,False,False,False,11,0,2,False,0,0,False,False,True,False,False,1,False,True
